product,review_content,rating,review_date,variant,source
Amazon Alexa / Echo,love my echo!,5,31-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,loved it!,5,31-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"sometimes while playing a game, you can answer a question correctly but alexa says you got it wrong and answers the same as you.  i like being able to turn lights on and off while away from home.",4,31-Jul-18,Walnut Finish ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i have had a lot of fun with this thing. my 4 yr old learns about dinosaurs, i control the lights and play games like categories. has nice sound when playing music as well.",5,31-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,music,5,31-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i received the echo as a gift. i needed another bluetooth or something to play music easily accessible, and found this smart speaker. can’t wait to see what else it can do.",5,31-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"without having a cellphone, i cannot use many of her features. i have an ipad but do not see that of any use.  it is a great alarm.  if u r almost deaf, you can hear her alarm in the bedroom from out in the living room, so that is reason enough to keep her.it is fun to ask random questions to hear her response.  she does not seem to be very smartbon politics yet.",3,31-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i think this is the 5th one i've purchased. i'm working on getting one in every room of my house. i really like what features they offer specifily playing music on all echos and controlling the lights throughout my house.,5,31-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,looks great,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"love it! i’ve listened to songs i haven’t heard since childhood! i get the news, weather, information! it’s great!",5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i sent it to my 85 year old dad, and he talks to it constantly.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,i love it! learning knew things with it eveyday! still figuring out how everything works but so far it's been easy to use and understand. she does make me laugh at times,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i purchased this for my mother who is having knee problems now, to give her something to do while trying to over come not getting around so fast like she did.she enjoys all the little and big things it can do...alexa play this song, what time is it and where, and how to cook this and that!",5,30-Jul-18,Oak Finish ,kaggle_amazon_alexa
Amazon Alexa / Echo,"love, love, love!!",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,just what i expected....,5,30-Jul-18,Oak Finish ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i love it, wife hates it.",5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,really happy with this purchase.  great speaker and easy to set up.,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,we have only been using alexa for a couple of days and are having a lot of fun with our new toy. it like having a new household member! we are trying to learn all the different featues and benefits that come with it.,5,30-Jul-18,Heather Gray Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,we love the size of the 2nd generation echo. still needs a little improvement on sound,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"i liked the original echo. this is the same but shorter and with greater fabric/color choices. i miss the volume ring on top, now it's just the plus/minus buttons. not a big deal but the ring w as comforting. :) other than that, well i do like the use of a standard usb charger /port instead of the previous round pin. other than that, i guess it sounds the same, seems to work the same, still answers to alexa/echo/computer. so what's not to like? :)",4,30-Jul-18,Sandstone Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,love the echo and how good the music sounds playing off it. alexa understands most commands but it is difficult at times for her to find specific playlists or songs on spotify. she is good with amazon music but is lacking in other major programs.,5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
Amazon Alexa / Echo,"we love alexa! we use her to play music, play radio through itunes, play podcasts through anypod, and set reminders. we listen to our flash briefing of news and weather every morning. we rely on our custom lists. we like being able to voice control the volume. we're sure we'll continue to find new uses.sometimes it's a bit frustrating when alexa doesn't understand what we're saying.",5,30-Jul-18,Charcoal Fabric ,kaggle_amazon_alexa
