platform,product,title,text,date
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"If you want to learn what the Google Assistant can actually do, check out our video: https://youtu.be/_GdvyWH5q2U",2020-06-11T13:34:58Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Josh I'm just replacing my Alexa devices with Google as Google is way more intelligent with questions. For the same reason I've just sold my iPhone 16 Pro and rep,aced it with Pixel 9 Pro XL. Siri needs a MAJOR overhaul.",2025-05-14T18:02:32Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,These suck! This is designed for android users. Anyone with an Iphone or memberships like itunes  will have a very annoying time. Once you have figured out how to add your nest to your google home app and configured everything. You come to realize that just like apple downgrades android messages to a god awfull low resolution grainy immage. Google disconnects itunes or you library every 2-3 minutes so your song will go thru beeps and pauses as it tries to reestablish connection. It only happens with apple developed apps. I exchanged it twice until the realization set in. So just avoid it apple users. Last time I tried was october 2024 and it still disconnects my music.,2025-03-10T18:51:38Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,This video has been very helpful thank you,2025-01-15T01:24:49Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Please Tell me NPR isn't the only news source,2025-01-15T01:18:48Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"I know that I don't plan on listening to music all that much, but that sounds SUPER tinny!",2024-11-21T03:55:35Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,The biggest waste of money has the mind of a 2 year old and doesn't know how to answer if you ask it how many legs deos a cow have it will say (sorry i don't understand) if you want it to tell you the whether of the contry not the state it would be good but it doesn't know anything,2024-11-18T15:36:48Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Hi can you help me and hundreds of other people that depend on there, google home mini to help them spell. Mine in a instant went from a slow spell that I could follow to a fast spell that I cant. I have trawled the net with no success to solve this.",2024-10-29T11:25:13Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,5:26 guys.. you see that on the phone?😐,2024-09-05T21:31:40Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Did nobody else notice what it says on the phone at 5:25 in the video 🤨🧐,2024-03-07T22:44:14Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,He isn't that all available on my phone so what's a point,2024-02-08T01:02:52Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Is this amazon music too,2024-02-01T17:15:18Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Mine is now a stuttering mess.,2023-12-25T11:12:33Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,3:05 Johes the bathroom speaker.......??,2023-12-13T15:59:52Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"For playing music, podcast and news it’s great, Google Assistant is very brief  when you ask her for any information, you need to say that long  Ok Google command again  and ask another related  question, Alexa gives you  more complete spoken responses, and even Siri gives you more definitions of a word. It’s a shame that  Assistant, having the Google search engine inside, has this serious limitation",2023-11-22T06:59:55Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Worst speaker ever app is so glitchy and buggy,2023-10-05T12:23:46Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"5:18 I wonder what ""sexy time"" does...",2023-09-13T07:30:58Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Great video, you actually used it and came up with a great list of common uses, along with setting one up.  I send this youtube video to family and friends who ask me about mine.",2023-03-07T23:18:21Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Will it work in India??,2023-01-20T11:03:11Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"My google nest mini My significant other bought me a year ago ..... Recently tho the thing has been going off randomly freaking me out She woke me up twenty minutes ago playing on some random station very loud , and it hasn't been the first it has done that ....... My Alexa doesn't do things like that so weird / creepy! Does anyone elses do weird things like mine Google nest mini does it would be nice to know so I can put my mind at ease ?!",2023-01-04T07:37:59Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Setting these up is a NIGHTMARE!!! BEWARE,2022-12-29T17:15:16Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,I can't seem to set up YouTube music seen all the videos on how to do it but still no 😭,2022-12-13T00:09:22Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"Unfortunately, I've had nothing but trouble with the Google family of speakers. Their firmware updates are horrendous. My speakers don't play as a group because of their latest firmware updates. Lately, I can't add speakers to my Google home because of the latest firmware updates. I don't recommend Google Home or their Nest products until they resolve their firmware issues.",2022-12-03T18:09:16Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,I don’t get it ? so it’s constantly listening to you ? Or is their a command to activate it to listen for commands ?,2022-11-29T17:24:44Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Can you use the mini as a wifi point extension?,2022-11-22T19:31:19Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,You can keep all that spy garbage.,2022-10-11T08:27:05Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"dang mate, do i wanna know what 3 tasks sexy time does???",2022-09-23T00:51:28Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,I am just annoyed it doesn't come in Sage green to match the larger google nest.,2022-07-11T02:49:09Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,"You forgot to mention one of the worst things, you can't tell it to play a particular song and you can only tell it to skip a song a certain number of times. Unless you pay for a subscription. And it will constantly remind you that you need a subscription to mute the stupid ads saying to get a subscription.",2022-06-03T01:04:27Z
youtube,Google Nest Mini,Google Nest Mini Review - 6 Months Later,Bro please reply me that that my Google next Mini is not hearing .me  in the noise .. please tell me that which settings that I want to enable for resolving this issue I am expecting a reply from you,2022-05-25T06:03:45Z
