platform,product,text,sentiment_label,sentiment_score
youtube,Google Nest Mini,"If you want to learn what the Google Assistant can actually do, check out our video: https://youtu.be/_GdvyWH5q2U",Neutral,0.0
youtube,Google Nest Mini,"Josh I'm just replacing my Alexa devices with Google as Google is way more intelligent with questions. For the same reason I've just sold my iPhone 16 Pro and rep,aced it with Pixel 9 Pro XL. Siri needs a MAJOR overhaul.",Positive,0.340625
youtube,Google Nest Mini,These suck! This is designed for android users. Anyone with an Iphone or memberships like itunes  will have a very annoying time. Once you have figured out how to add your nest to your google home app and configured everything. You come to realize that just like apple downgrades android messages to a god awfull low resolution grainy immage. Google disconnects itunes or you library every 2-3 minutes so your song will go thru beeps and pauses as it tries to reestablish connection. It only happens with apple developed apps. I exchanged it twice until the realization set in. So just avoid it apple users. Last time I tried was october 2024 and it still disconnects my music.,Negative,-0.16666666666666666
youtube,Google Nest Mini,This video has been very helpful thank you,Positive,0.2
youtube,Google Nest Mini,Please Tell me NPR isn't the only news source,Neutral,0.0
youtube,Google Nest Mini,"I know that I don't plan on listening to music all that much, but that sounds SUPER tinny!",Positive,0.30833333333333335
youtube,Google Nest Mini,The biggest waste of money has the mind of a 2 year old and doesn't know how to answer if you ask it how many legs deos a cow have it will say (sorry i don't understand) if you want it to tell you the whether of the contry not the state it would be good but it doesn't know anything,Neutral,0.07777777777777778
youtube,Google Nest Mini,"Hi can you help me and hundreds of other people that depend on there, google home mini to help them spell. Mine in a instant went from a slow spell that I could follow to a fast spell that I cant. I have trawled the net with no success to solve this.",Neutral,-0.0625
youtube,Google Nest Mini,5:26 guys.. you see that on the phone?😐,Neutral,0.0
youtube,Google Nest Mini,Did nobody else notice what it says on the phone at 5:25 in the video 🤨🧐,Neutral,0.0
youtube,Google Nest Mini,He isn't that all available on my phone so what's a point,Positive,0.4
youtube,Google Nest Mini,Is this amazon music too,Neutral,0.0
youtube,Google Nest Mini,Mine is now a stuttering mess.,Negative,-0.175
youtube,Google Nest Mini,3:05 Johes the bathroom speaker.......??,Neutral,0.0
